Sede,Jornada,Código,Carrera,Categoría,Mención / Especialidad,Nº de Plan,Tipo de Malla,Nº Semestres
Viña del Mar,Diurna,111-3,Ingeniería en Biotecnología,Profesional,,11323 (2022),Malla Nueva,8
Viña del Mar,Diurna,29-3,Ingeniería en Informática,Profesional,,2920 (2020),Malla Nueva,8
Viña del Mar,Vespertina,2-3,I.Ejec.Prevención De Riesgos,Profesional,Modalidad 3 Años,20051 (2005 - 2016),Malla Nueva,6
Viña del Mar,Vespertina,5-3,Ing. de Ejec. en Control e Instr. Ind.,Profesional,Semanal-Vespertina,20041 (2004 - 2016),Malla Nueva,6
Viña del Mar,Vespertina,12-3,Ing. de Ejec. en Gestión de  la Calidad,Profesional,Semanal-Vespertina,20131 (2013 - 2016),Malla Nueva,6
Viña del Mar,Vespertina,1-3,Ing. de Ejec. en Gestión Industrial,Profesional,Residencial,20073 (2007 - 2016),Malla Nueva,6
Viña del Mar,Vespertina,1-3,Ing. de Ejec. en Gestión Industrial,Profesional,Semanal - Vespertina,19941 (1994 - 2003),Malla Antigua,6
Viña del Mar,Vespertina,1-3,Ing. de Ejec. en Gestión Industrial,Profesional,Semanal - Vespertina,20041 (2004 - 2016),Malla Antigua,6
Viña del Mar,Vespertina,8-3,Ing. de Ejec. en Mantenimiento Industrial,Profesional,Modalidad 3 Años,20051 (2005 - 2016),Malla Antigua,6
Viña del Mar,Vespertina,8-3,Ing. de Ejec. en Mantenimiento Industrial,Profesional,Modalidad Residencial,20133 (2013 - 2013),Malla Nueva,6
Viña del Mar,Vespertina,4-3,Ing. de Ejec. en Manufactura,Profesional,,,Sin dato,
Viña del Mar,Vespertina,66-3,Ing. de Ejec. en Prev. de Riesgos,Profesional,,,Sin dato,
Viña del Mar,Vespertina,6-3,Ing. de Ejec. en Proyectos de Ingeniería,Profesional,Modalidad 3 Años,20041 (2004 - 2016),Malla Nueva,6
Viña del Mar,Vespertina,6-3,Ing. de Ejec. en Proyectos de Ingeniería,Profesional,Modalidad 3 Años,20021 (2002 - 2003),Malla Antigua,6
Viña del Mar,Vespertina,3-3,Ing. de Ejec. en Sistemas Computacionales,Profesional,Modalidad 3 Años,20041 (2004 - 2016),Malla Nueva,6
Viña del Mar,Vespertina,7-3,Ing. de Ejec. en Software,Profesional,Modalidad 2 Años,20102 (2010 - 2013),Malla Nueva,4
Viña del Mar,Vespertina,7-3,Ing. de Ejec. en Software,Profesional,Semanal - Vespertina,20041 (2004 - 2016),Malla Antigua,6
Viña del Mar,Vespertina,10-3,Ing. en Construcción,Profesional,Semanal - Vespertina,20081 (2008 - 2016),Malla Nueva,6
Viña del Mar,Vespertina,9-3,Ing. en Prevención de Riesgos Lab.y Amb.,Profesional,Modalidad 3 Años,20111 (2011 - 2023),Malla Nueva,6
Viña del Mar,Vespertina,9-3,Ing. en Prevención de Riesgos Lab.y Amb.,Profesional,Modalidad Semanal - Vespertina,20111 (2020),Malla Antigua,6
Viña del Mar,Vespertina,39-3,Ing. en Proyectos de Ingeniería,Profesional,Semanal-Vespertina,1 (2019),Malla Nueva,6
Viña del Mar,Vespertina,56-3,Ing. Mantenimiento Industrial,Profesional,Modalidad 2 años,3 (2019),Malla Antigua,0
Viña del Mar,Vespertina,56-3,Ing. Mantenimiento Industrial,Profesional,Residencial,4 (2019),Malla Nueva,6
Viña del Mar,Vespertina,56-3,Ing. Mantenimiento Industrial,Profesional,Semanal-Vespertina,2 (2019),Malla Antigua,6
Concepción,Diurna,36-4,Téc. Univ. Dibujante Proyectista,Técnica,,3620,Malla Nueva,4
Concepción,Diurna,36-4,Téc. Univ. Dibujante Proyectista,Técnica,,3610,Malla Antigua,6
Concepción,Diurna,36-4,Téc. Univ. Dibujante Proyectista,Técnica,,3617,Malla Antigua,5
Concepción,Diurna,27-4,Téc. Univ. en Administración de Empresas,Técnica,,27011,Malla Nueva,4
Concepción,Diurna,22-4,Téc. Univ. en Automatización y Control,Técnica,,2220,Malla Nueva,4
Concepción,Diurna,22-4,Téc. Univ. en Automatización y Control,Técnica,,2216,Malla Antigua,5
Concepción,Diurna,107-4,Téc. Univ. en Biotecnología,Técnica,,22,Malla Nueva,4
Concepción,Diurna,126-4,Téc. Univ. en Ciencia de Datos,Técnica,,12725,Malla Nueva,4
Concepción,Diurna,16-4,Téc. Univ. en Computación e Informática,Técnica,,1696,Malla Nueva,5
Concepción,Diurna,34-4,Téc. Univ. en Construcción,Técnica,,3420,Malla Nueva,4
Concepción,Diurna,34-4,Téc. Univ. en Construcción,Técnica,,3403,Malla Antigua,6
Concepción,Diurna,34-4,Téc. Univ. en Construcción,Técnica,,3417,Malla Antigua,5
Concepción,Diurna,35-4,Téc. Univ. en Construcción Civil,Técnica,,,Sin dato,
Concepción,Diurna,52-4,Téc. Univ. en Control de Alimentos,Técnica,,5203,Malla Nueva,6
Concepción,Diurna,59-4,Téc. Univ. en Control del Medio Ambiente,Técnica,,5920,Malla Nueva,4
Concepción,Diurna,59-4,Téc. Univ. en Control del Medio Ambiente,Técnica,,5914,Malla Antigua,5
Concepción,Diurna,59-4,Téc. Univ. en Control del Medio Ambiente,Técnica,,5917,Malla Antigua,5
Concepción,Diurna,20-4,Téc. Univ. en Electricidad,Técnica,,2020,Malla Nueva,4
Concepción,Diurna,20-4,Téc. Univ. en Electricidad,Técnica,,2003,Malla Antigua,6
Concepción,Diurna,20-4,Téc. Univ. en Electricidad,Técnica,,2016,Malla Antigua,5
Concepción,Diurna,10-4,Téc. Univ. en Electrónica,Técnica,,10020,Malla Nueva,4
Concepción,Diurna,10-4,Téc. Univ. en Electrónica,Técnica,,1003,Malla Antigua,6
Concepción,Diurna,10-4,Téc. Univ. en Electrónica,Técnica,,1016,Malla Antigua,5
Concepción,Diurna,31-4,Téc. Univ. en Estructuras,Técnica,,,Sin dato,
Concepción,Diurna,70-4,Téc. Univ. en Industrial Madereras,Técnica,,7003,Malla Nueva,6
Concepción,Diurna,17-4,Téc. Univ. en Informática,Técnica,,1720,Malla Nueva,4
Concepción,Diurna,17-4,Téc. Univ. en Informática,Técnica,,1703,Malla Antigua,6
Concepción,Diurna,17-4,Téc. Univ. en Informática,Técnica,,1717,Malla Antigua,5
Concepción,Diurna,39-4,Téc. Univ. en Mantenimiento Industrial,Técnica,,3920,Malla Nueva,4
Concepción,Diurna,44-4,Téc. Univ. en Mec. de Proc. y Mant. Ind.,Técnica,,4400,Malla Nueva,6
Concepción,Diurna,43-4,Téc. Univ. en Mecánica Automotriz,Técnica,,4320,Malla Nueva,4
Concepción,Diurna,43-4,Téc. Univ. en Mecánica Automotriz,Técnica,,4303,Malla Antigua,6
Concepción,Diurna,43-4,Téc. Univ. en Mecánica Automotriz,Técnica,,4316,Malla Antigua,5
Concepción,Diurna,42-4,Téc. Univ. en Mecánica Automotriz Diesel,Técnica,,4203,Malla Nueva,6
Concepción,Diurna,40-4,Téc. Univ. en Mecánica de Mantenimiento,Técnica,,,Sin dato,
Concepción,Diurna,30-4,Téc. Univ. en Mecánica Estructural,Técnica,,3088,Malla Nueva,6
Concepción,Diurna,41-4,Téc. Univ. en Mecánica Industrial,Técnica,,4120,Malla Nueva,4
Concepción,Diurna,41-4,Téc. Univ. en Mecánica Industrial,Técnica,,4103,Malla Antigua,6
Concepción,Diurna,41-4,Téc. Univ. en Mecánica Industrial,Técnica,,4116,Malla Antigua,5
Concepción,Diurna,60-4,Téc. Univ. en Prevención de Riesgos,Técnica,,60020,Malla Nueva,4
Concepción,Diurna,60-4,Téc. Univ. en Prevención de Riesgos,Técnica,,6003,Malla Antigua,6
Concepción,Diurna,60-4,Téc. Univ. en Prevención de Riesgos,Técnica,,6017,Malla Antigua,5
Concepción,Diurna,32-4,Téc. Univ. en Proyecto y Diseño Estructural,Técnica,,3203,Malla Nueva,6
Concepción,Diurna,37-4,Téc. Univ. en Proyectos de Ingeniería,Técnica,,3703,Malla Nueva,6
Concepción,Diurna,50-4,Téc. Univ. en Química Analítica,Técnica,,,Sin dato,
Concepción,Diurna,51-4,Téc. Univ. en Química Industrial,Técnica,,5103,Malla Nueva,6
Concepción,Diurna,53-4,Téc. Univ. en Química Mención Química Ind.,Técnica,,5320,Malla Nueva,4
Concepción,Diurna,53-4,Téc. Univ. en Química Mención Química Ind.,Técnica,,5317,Malla Antigua,5
Concepción,Diurna,23-4,Téc. Univ. en Robótica y Mecatrónica,Técnica,,2320,Malla Nueva,4
Concepción,Diurna,23-4,Téc. Univ. en Robótica y Mecatrónica,Técnica,,2314,Malla Antigua,5
Concepción,Diurna,11-4,Téc. Univ. en Sistemas Electrónicos,Técnica,,,Sin dato,
Concepción,Diurna,28-4,Téc. Univ. en Telecomunicaciones y Redes,Técnica,,2820,Malla Nueva,4
Concepción,Diurna,28-4,Téc. Univ. en Telecomunicaciones y Redes,Técnica,,2817,Malla Antigua,5
Concepción,Diurna,33-4,Téc. Univ. en Topografía,Técnica,,3310,Malla Nueva,6
Concepción,Diurna,63-4,Ing. de Ejec. en Mec. de Proc. y Mant. Ind.,Profesional,,6300,Malla Nueva,9
Concepción,Diurna,62-4,Ing. de Ejec. en Prev. de Riesgos,Profesional,,6200,Malla Nueva,8
Concepción,Diurna,56-4,Ing. en Mantenimiento Industrial,Profesional,,5601,Malla Nueva,8
Concepción,Diurna,61-4,Ing. en Prev. de Riesgos Lab. y Amb.,Profesional,,6111,Malla Nueva,8
Concepción,Diurna,111-4,Ingeniería en Biotecnología,Profesional,,11123,Malla Nueva,8
Concepción,Diurna,29-4,Ingeniería en Informática,Profesional,,2920,Malla Nueva,8
Concepción,Diurna,150-1,Mag.Emprendimiento e innovación Tecnológica,Magíster,,,Sin dato,
Concepción,Diurna,100-1,Mag.en Gestión Empresarial,Magíster,,PPT15,Malla Nueva,1
Concepción,Diurna,500-1,Doctorado en Int. Art,Doctorado,,,Sin dato,
Concepción,Vespertina,69-4,Téc. Univ. en Gestión de la Produc. (Codelco),Técnica,,6911,Malla Nueva,6
Concepción,Vespertina,24-4,Téc. Univ. en Mantenimiento Industrial  Vespertino,Técnica,,2414,Malla Nueva,5
Concepción,Vespertina,38-4,Téc. Univ. en Mantenimiento Industrial (Angol),Técnica,,3814,Malla Nueva,5
Concepción,Vespertina,58-4,Téc. Univ. en Mantenimiento Industrial (Curicó),Técnica,,5814,Malla Nueva,5
Concepción,Vespertina,57-4,Téc. Univ. en Robótica y Mecatrónica (Curicó),Técnica,,5715,Malla Nueva,5
Concepción,Vespertina,67-4,Téc. Univ. Ind. en Electric. M. Dist. y Control,Técnica,,6712,Malla Nueva,6
Concepción,Vespertina,66-4,Téc. Univ. Ind. en Mec. de Mantenim. (Curicó),Técnica,,6613,Malla Nueva,6
Concepción,Vespertina,8-4,Téc. Univ. Ind. M. en Instr. y Control Automat.,Técnica,,0809,Malla Nueva,6
Concepción,Vespertina,78-4,Téc. Univ. Ind. M. Mec. de Mantenim. (Angol),Técnica,,7808,Malla Nueva,6
Concepción,Vespertina,82-4,Téc. Univ. Ind. M. Mec. de Mantenim. (Concep),Técnica,,8213,Malla Nueva,6
Concepción,Vespertina,82-4,Téc. Univ. Ind. M. Mec. de Mantenim. (Concep),Técnica,,8202,Malla Antigua,6
Concepción,Vespertina,82-4,Téc. Univ. Ind. M. Mec. de Mantenim. (Concep),Técnica,,8204,Malla Antigua,6
Concepción,Vespertina,82-4,Téc. Univ. Ind. M. Mec. de Mantenim. (Concep),Técnica,,8205,Malla Antigua,6
Concepción,Vespertina,82-4,Téc. Univ. Ind. M. Mec. de Mantenim. (Concep),Técnica,,8207,Malla Antigua,6
Concepción,Vespertina,82-4,Téc. Univ. Ind. M. Mec. de Mantenim. (Concep),Técnica,,8208,Malla Antigua,6
Concepción,Vespertina,82-4,Téc. Univ. Ind. M. Mec. de Mantenim. (Concep),Técnica,,8209,Malla Antigua,6
Concepción,Vespertina,82-4,Téc. Univ. Ind. M. Mec. de Mantenim. (Concep),Técnica,,8212,Malla Antigua,6
Concepción,Vespertina,83-4,Téc. Univ. Ind. M. Oper. Plant. Proc. Industr.,Técnica,,8303,Malla Nueva,6
Concepción,Vespertina,4-4,Téc. Univ. Ind. M. Sist. Electric. de Control,Técnica,,0407,Malla Nueva,6
Concepción,Vespertina,5-4,Téc. Univ. Ind. M. Sist. Electric. de Control,Técnica,,0507,Malla Nueva,6
Concepción,Vespertina,79-4,Téc. Univ. Ind. M. Sist. Electric. de Control,Técnica,,7906,Malla Nueva,6
Concepción,Vespertina,79-4,Téc. Univ. Ind. M. Sist. Electric. de Control,Técnica,,7904,Malla Antigua,6
Concepción,Vespertina,81-4,Téc. Univ. Ind. M. Sist. Electric. de Control,Técnica,,8105,Malla Nueva,6
Concepción,Vespertina,81-4,Téc. Univ. Ind. M. Sist. Electric. de Control,Técnica,,8102,Malla Antigua,6
Concepción,Vespertina,81-4,Téc. Univ. Ind. M. Sist. Electric. de Control,Técnica,,8104,Malla Antigua,6
Concepción,Vespertina,92-4,Ing. de Ejec. en Control e Instr. Ind.,Profesional,Semanal - Vespertina,9210,Malla Nueva,6
Concepción,Vespertina,65-4,Ing. de Ejec. en Control e Instr. Ind. (Curicó),Profesional,,6513,Malla Nueva,6
Concepción,Vespertina,64-4,Ing. de Ejec. en Control e Instr. Ind. (Ejecutiva),Profesional,Ejecutiva,6413,Malla Nueva,6
Concepción,Vespertina,1-4,Ing. de Ejec. en Control e Instr. Ind. (L.Ang),Profesional,,,Sin dato,
Concepción,Vespertina,2-4,Ing. de Ejec. en Control e Instr. Ind. (Talca),Profesional,,0205,Malla Nueva,6
Concepción,Vespertina,86-4,Ing. de Ejec. en Gestión de la Calidad,Profesional,,8611,Malla Nueva,6
Concepción,Vespertina,72-4,Ing. de Ejec. en Gestión de la Calidad (Modular),Profesional,,7208,Malla Nueva,6
Concepción,Vespertina,75-4,Ing. de Ejec. en Gestión de la Calidad (Santiago),Profesional,Modular,7510,Malla Nueva,6
Concepción,Vespertina,85-4,Ing. de Ejec. en Gestión Industrial,Profesional,Semanal - Vespertina,8511,Malla Nueva,6
Concepción,Vespertina,9-4,Ing. de Ejec. en Gestión Industrial (Chillán),Profesional,,0911,Malla Nueva,6
Concepción,Vespertina,3-4,Ing. de Ejec. en Gestión Industrial (Constituc.),Profesional,,0305,Malla Nueva,6
Concepción,Vespertina,6-4,Ing. de Ejec. en Gestión Industrial (Ejecutiva),Profesional,Ejecutiva,0607,Malla Nueva,6
Concepción,Vespertina,7-4,Ing. de Ejec. en Gestión Industrial (Talca),Profesional,,0708,Malla Nueva,6
Concepción,Vespertina,91-4,Ing. de Ejec. en Gestión y Control Amb.,Profesional,Semanal - Vespertina,9105,Malla Nueva,6
Concepción,Vespertina,74-4,Ing. de Ejec. en Gestión y Control Amb.(Ejecutiva),Profesional,Ejecutiva,7408,Malla Nueva,6
Concepción,Vespertina,94-4,Ing. de Ejec. en Mantenimiento Ind.,Profesional,,9410,Malla Nueva,6
Concepción,Vespertina,68-4,Ing. de Ejec. en Mantenimiento Ind. (Modular),Profesional,,6812,Malla Nueva,6
Concepción,Vespertina,26-4,Ing. de Ejec. en Mantenimiento Ind. (Santiago),Profesional,,2618,Malla Nueva,6
Concepción,Vespertina,90-4,Ing. de Ejec. en Prev. de Riesgos,Profesional,,9005,Malla Nueva,6
Concepción,Vespertina,90-4,Ing. de Ejec. en Prev. de Riesgos,Profesional,,9096,Malla Antigua,6
Concepción,Vespertina,89-4,Ing. de Ejec. en Prev. de Riesgos (Rancagua),Profesional,,8905,Malla Nueva,6
Concepción,Vespertina,89-4,Ing. de Ejec. en Prev. de Riesgos (Rancagua),Profesional,,8903,Malla Antigua,6
Concepción,Vespertina,99-4,Ing. de Ejec. en Prev. de Riesgos (Santiago),Profesional,,9905,Malla Nueva,6
Concepción,Vespertina,99-4,Ing. de Ejec. en Prev. de Riesgos (Santiago),Profesional,,9904,Malla Antigua,6
Concepción,Vespertina,99-4,Ing. de Ejec. en Prev. de Riesgos (Santiago),Profesional,,9999,Malla Antigua,6
Concepción,Vespertina,93-4,Ing. de Ejec. en Proy. Estructurales,Profesional,Semanal - Vespertina,9310,Malla Nueva,6
Concepción,Vespertina,71-4,Ing. de Ejec. en Proy. Estructurales (Modular),Profesional,,7108,Malla Nueva,6
Concepción,Vespertina,95-4,Ing. de Ejec. en Química Mención Control,Profesional,Semanal - Vespertina,9510,Malla Nueva,6
Concepción,Vespertina,88-4,Ing. de Ejec. en Software,Profesional,,8805,Malla Nueva,6
Concepción,Vespertina,73-4,Ing. de Ejec. en Software (Modular),Profesional,,7308,Malla Nueva,6
Concepción,Vespertina,87-4,Ing. de Ejec. en Software (Rancagua),Profesional,,8705,Malla Nueva,6
Concepción,Vespertina,87-4,Ing. de Ejec. en Software (Rancagua),Profesional,,8704,Malla Antigua,6
Concepción,Vespertina,84-4,Ing. en Construcción,Profesional,Semanal - Vespertina,8407,Malla Nueva,6
Concepción,Vespertina,84-4,Ing. en Construcción,Profesional,Semanal - Vespertina,8406,Malla Antigua,6
Concepción,Vespertina,56-4,Ing. en Mantenimiento Industrial,Profesional,Ejecutiva,5603,Malla Nueva,6
Concepción,Vespertina,56-4,Ing. en Mantenimiento Industrial,Profesional,Semanal - Vespertina,5602,Malla Antigua,6
Concepción,Vespertina,77-4,Ing. en Prev. de Riesgos Lab. y Amb. (Concepción),Profesional,Modular,7711,Malla Nueva,6
Concepción,Vespertina,46-4,Ing. en Prev. de Riesgos Lab. y Amb. (Convers.),Profesional,,4614,Malla Nueva,2
Concepción,Vespertina,76-4,Ing. en Prev. de Riesgos Lab. y Amb. (Santiago),Profesional,Modular,7611,Malla Nueva,6
Concepción,Vespertina,54-4,Ingeniería Comercial,Profesional,Semanal - Vespertina,5810,Malla Nueva,10
Concepción,Vespertina,54-4,Ingeniería Comercial,Profesional,Semanal - Vespertina,5419,Malla Antigua,8
